a_o,per_odo,c_digo_programa,programa,metodologia,cantidad_matriculados,hombres,mujeres,comuna_1,comuna_2,comuna_3,comuna_4,comuna_5,comuna_6,comuna_7,comuna_8,comuna_9,comuna_10,comuna_11,comuna_12,comuna_13,comuna_14,comuna_15,comuna_16,corregimientos,otros_municipios,recibieron_apoyos_financieros,recibieron_apoyos_acad_micos
2020,1,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,404,103,301,14,8,28,41,15,26,55,3,24,3,5,14,34,2,2,33,28,69,148,100
2020,1,101313,ARQUITECTURA,Presencial,497,281,216,14,10,27,33,24,34,56,17,52,9,10,16,31,3,5,27,20,109,206,17
2020,1,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,333,73,260,10,6,16,17,14,29,25,10,23,4,3,5,21,0,8,16,18,108,182,64
2020,1,17498,BIOTECNOLOGÍA,Presencial,157,47,110,7,1,5,12,10,8,21,4,7,1,1,3,8,0,1,12,9,47,90,64
2020,1,6644,CONSTRUCCIONES CIVILES,Presencial,574,380,194,35,15,32,42,21,32,66,21,36,4,3,13,45,0,9,22,41,137,266,65
2020,1,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,11,7,4,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,1,1,3,9,0
2020,1,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,9,6,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,3,9,0
2020,1,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,20,9,11,0,0,0,1,0,3,1,0,0,0,1,0,1,0,0,1,1,11,20,0
2020,1,54263,INGENIERIA AMBIENTAL,Presencial,505,172,333,19,15,29,30,24,29,60,13,42,7,4,7,36,1,4,19,31,135,300,183
2020,1,106264,INGENIERÍA COMERCIAL,Presencial,97,46,51,7,2,6,5,3,13,20,2,7,0,0,3,7,0,1,3,10,8,26,41
2020,1,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,519,168,351,53,15,26,48,16,45,88,7,41,1,4,13,37,1,7,26,54,37,156,42
2020,1,106771,PROFESIONAL EN GASTRONOMÍA Y CULINARIA,Presencial,104,57,47,2,2,5,9,5,6,16,1,16,1,3,4,4,0,3,5,7,15,56,2
2020,1,1724,TECNOLOGIA EN DELINEANTE DE ARQUITECTURA E INGENIERIA,Presencial,429,215,214,30,16,35,37,24,32,53,29,31,0,3,6,23,0,4,13,31,62,157,46
